date,final_skew,symbol
20160906,109.35110011546227,CLF17
20160907,109.04441191298787,CLF17
20160908,109.1734166992572,CLF17
20160909,109.32521440662929,CLF17
20160912,109.24206498622088,CLF17
20160913,109.21387195449115,CLF17
20160914,109.53974448999618,CLF17
20160915,109.54961488129167,CLF17
20160916,109.60282173196593,CLF17
20160919,109.49200031503429,CLF17
20160920,109.37549610800293,CLF17
20160921,109.10428557388397,CLF17
20160922,108.9822074008203,CLF17
20160923,109.11464571912387,CLF17
20160926,108.7867027224938,CLF17
20160927,109.34747145984946,CLF17
20160928,108.77277180246003,CLF17
20160929,108.52904852850506,CLF17
20160930,109.25808833053766,CLF17
20161003,110.08533155688639,CLF17
20161004,110.23192500534591,CLF17
20161005,110.7041558173778,CLF17
20161006,111.1707628846338,CLF17
20161007,110.96810686167218,CLF17
20161010,110.37894725788904,CLF17
20161011,109.75338205101973,CLF17
20161012,109.74906947873393,CLF17
20161013,109.9625917078619,CLF17
20161014,110.17424247326562,CLF17
20161017,110.39061680554616,CLF17
20161018,110.23046970338179,CLF17
20161019,109.87204230536878,CLF17
20161020,109.73870827464496,CLF17
20161021,110.28744618133797,CLF17
20161024,110.63322734704404,CLF17
20161025,110.84102107468931,CLF17
20161026,110.87401158861705,CLF17
20161027,110.88726283972544,CLF17
20161028,110.77523026874859,CLF17
20161031,110.1911386806716,CLF17
20161101,109.91117439827646,CLF17
20161102,110.30363052364117,CLF17
20161103,109.74325608804344,CLF17
20161104,110.12726630659704,CLF17
20161107,109.3918045874089,CLF17
20161108,109.1643798573486,CLF17
20161109,109.24188259498072,CLF17
20161110,109.59786266451661,CLF17
20161111,109.96597270490497,CLF17
20161114,109.25251880246864,CLF17
20161115,108.07968727269851,CLF17
20161116,108.36536898905089,CLF17
20161117,109.05652743010555,CLF17
20161118,109.1553703655731,CLF17
20161121,109.56958294763388,CLF17
20161122,110.64064120503359,CLF17
20161123,110.33177373480817,CLF17
20161125,110.23034612254949,CLF17
20161128,111.50030557581381,CLF17
20161129,109.2042769502617,CLF17
20161130,107.7879967303983,CLF17
20161201,109.51393316606327,CLF17
20161202,109.82358939518102,CLF17
20161010,109.91545840443345,CLG17
20161011,109.26456787095968,CLG17
20161012,108.86806628974226,CLG17
20161013,108.82383269268018,CLG17
20161014,109.32835380977832,CLG17
20161017,109.12761626242455,CLG17
20161018,109.13307325460934,CLG17
20161019,108.83632900511225,CLG17
20161020,108.93741895026375,CLG17
20161021,109.13807681259797,CLG17
20161024,109.42140557115306,CLG17
20161025,109.19128747941008,CLG17
20161026,109.44318384293899,CLG17
20161027,109.27823229856416,CLG17
20161028,108.72714827179992,CLG17
20161031,108.38045882743013,CLG17
20161101,108.42285564447724,CLG17
20161102,108.41063189756302,CLG17
20161103,107.99430471331527,CLG17
20161104,108.42896323710605,CLG17
20161107,107.93221741531505,CLG17
20161108,107.21314880175129,CLG17
20161109,107.04779421269927,CLG17
20161110,107.25731634917766,CLG17
20161111,107.42082886719598,CLG17
20161114,107.04197033004971,CLG17
20161115,106.66259592589344,CLG17
20161116,106.54732391952983,CLG17
20161117,106.43098290178432,CLG17
20161118,106.5373272955293,CLG17
20161121,106.94150723482039,CLG17
20161122,107.65693614696457,CLG17
20161123,107.95706981485742,CLG17
20161125,107.60443402793956,CLG17
20161128,108.95173982244933,CLG17
20161129,108.0802355324881,CLG17
20161130,107.95183824498841,CLG17
20161201,109.4601678998327,CLG17
20161202,110.98275182120288,CLG17
20161205,111.7181147169598,CLG17
20161206,111.08974029542222,CLG17
20161207,110.80262109730157,CLG17
20161208,111.16476542205811,CLG17
20161209,110.9111563764843,CLG17
20161212,110.56085462948593,CLG17
20161213,111.404824786757,CLG17
20161214,111.58283648094904,CLG17
20161215,113.66254836997297,CLG17
20161216,114.13254184352132,CLG17
20161219,113.08202222331877,CLG17
20161220,112.27839772293821,CLG17
20161221,113.09795163563763,CLG17
20161222,113.63540140330045,CLG17
20161223,114.35689983648314,CLG17
20161227,,CLG17
20161228,111.88804887363642,CLG17
20161229,112.15220431563033,CLG17
20161230,111.81257473991722,CLG17
20170103,110.54915994997734,CLG17
20170104,112.77762226553682,CLG17
20170105,112.64993184603382,CLG17
20170106,113.61217066916997,CLG17
20161107,106.85031869565044,CLH17
20161108,106.34382386872655,CLH17
20161109,105.9462042685451,CLH17
20161110,106.25081478622471,CLH17
20161111,106.32108220904843,CLH17
20161114,106.30769807737695,CLH17
20161115,106.07337430459563,CLH17
20161116,105.70672399559123,CLH17
20161117,105.56723623116854,CLH17
20161118,105.63109644226337,CLH17
20161121,105.96570100262768,CLH17
20161122,106.45984403804295,CLH17
20161123,106.61043950181522,CLH17
20161125,106.1775916972448,CLH17
20161128,107.22151240049509,CLH17
20161129,106.50753055169687,CLH17
20161130,107.04518621579555,CLH17
20161201,108.4714266172977,CLH17
20161202,109.41281295143776,CLH17
20161205,109.75890935016422,CLH17
20161206,109.24843201329708,CLH17
20161207,108.79618063590563,CLH17
20161208,108.96693788364396,CLH17
20161209,108.85645926404196,CLH17
20161212,109.05056572302747,CLH17
20161213,109.40473757232196,CLH17
20161214,109.26721265917021,CLH17
20161215,110.06173863989991,CLH17
20161216,109.05949745351502,CLH17
20161219,108.03030058260843,CLH17
20161220,108.08633524587606,CLH17
20161221,108.93988144091247,CLH17
20161222,109.23008235882705,CLH17
20161223,109.44149498821109,CLH17
20161227,,CLH17
20161228,108.24853950997546,CLH17
20161229,108.98138411575219,CLH17
20161230,108.54731989275014,CLH17
20170103,106.5151107747152,CLH17
